program,lat,lng,type_fp,type_sk,phone,address,boro,zip,loc_info,status,program_type,fp_hours,sk_hours
THESSALONIA BAPTIST CHURCH,40.822275830816,-73.899037024891,FP,,(718) 542-0828,"951 Rev James A Polite Ave, Bronx, New York, 10459",BX,10459,,Open,FP,Tue 10:00 AM-11:30 AM,
THORPE FAMILY RESIDENCE,40.85642973932272,-73.89467860287739,FP,,(718) 295-2550,"406 E 184th St, Bronx, New York, 10458",BX,10458,,Open,FP,Wed 07:30 AM-09:30 AM,
UNION GROVE BAPTIST CHURCH,40.83294746039107,-73.88914688205773,FP,,(347) 590-3881,"1488 Hoe Ave, Bronx, New York, 10460",BX,10460,,Open,FP,Wed 09:00 AM-11:00 AM,
VINEYARD INTERNATIONAL CHRISTIAN MINISTRIES,40.83074440287,-73.9123762370611,FP,,(718) 538-9211,"1140 Teller Ave, Bronx, New York, 10456",BX,10456,,Open,FP,Sat 10:00 AM-12:00 PM,
"WAY OUT CHURCH MINISTRIES, INC (FP)",40.813939231827,-73.914690899623,FP,,(718) 665-8069,"520 E 148th St, Bronx, New York, 10455",BX,10455,,Open,FP,Wed 09:00 AM-10:30 AM; Fri 09:00 AM-10:30 AM,
WHEDCO - FOOD PANTRY,40.83648818584,-73.9190378384288,FP,,(718) 839-1100,"50 E 168th St, Bronx, New York, 10452",BX,10452,,Open,FP,Wed 09:30 AM-10:30 AM,
WORD OF LIFE CHRISTIAN FELLOWSHIP,40.819614115553,-73.903033851601,FP,,(718) 861-5678,830 UNION AVENUE,BX,10459,,Open,FP,Sat 11:00 AM-03:00 PM,
AFRICAN SERVICES COMMITTEE (FP),40.813386906317,-73.954489768462,FP,,"(212) 222-3882,107","429 W 127th St, New York, New York, 10027",NY,10027,,Open,FP,Mon 10:00 AM-04:00 PM; Tue 10:00 AM-04:00 PM; Wed 10:00 AM-04:00 PM; Thu 10:00 AM-04:00 PM,
ANTIOCH OUTREACH MINISTRIES,40.80651835576,-73.9442471666002,FP,,(212) 534-5715,"41 W 124th St, New York, New York, 10027",NY,10027,,Open,FP,Sat 07:30 AM-11:00 AM,
"ASCENSION OUTREACH, INC",40.734195062301,-73.995719092896,FP,,(347) 254-8620,"12 W 11th St, New York, NY, 10011, USA",NY,10011,,Open,FP,Sat 08:30 AM-09:00 AM,
BETHEL AME CHURCH,40.81158417868946,-73.94092573952658,FP,,(212) 862-0100,"54-60 W 132nd St, New York, New York, 100373",NY,10037,,Open,FP,Thu 09:30 AM-11:30 AM,
CABRINI IMMIGRANT SERVICES OF NEW YORK CITY INC,40.869597960668,-73.920903901533,FP,,(212) 791-4590,"630 Isham St, New York, New York, 10034",NY,10034,,Open,FP,Sat 07:00 AM-10:00 AM,
CATHOLIC CHARITIES WASHINGTON HEIGHTS FOOD PANTRY (FP),40.850749700726,-73.935055236302,FP,,(212) 862-6401,"665 W 182nd St, New York, New York, 10033",NY,10033,,Open,FP,Thu 10:00 AM-12:00 PM,
CCCS - KENNEDY CENTER FOOD PANTRY,40.8127169407963,-73.939904586384,FP,,(212) 862-6401,"34 W 134th St, New York, New York, 10037",NY,10037,,Open,FP,Wed 10:00 AM-01:00 PM,
COMMUNITY IMPACT (FP),40.807022569146,-73.96583978737,FP,,(919) 259-8315,"616 W 114th St, New York, New York, 10025",NY,10025,,Open,FP,Mon 11:00 AM-02:00 PM; Wed 11:00 AM-02:00 PM; Thu 11:00 AM-02:00 PM,
COMMUNITY LEAGUE OF THE HEIGHTS (FP),40.834302814135,-73.941841895665,FP,,(212) 795-4779,"508 W 159th St, New York, NY, 10032, USA",NY,10032,,Open,FP,Wed 09:00 AM-01:00 PM; Sat 09:00 AM-01:00 PM,
DEWITT REFORMED CHURCH,40.717523414976,-73.979588958425,FP,,(212) 674-3341,"280 Rivington St, New York, New York, 10002",NY,10002,,Open,FP,Sat 10:00 AM-12:00 PM,
FAMILY INTEGRATION MINISTRY FOOD PANTRY,40.830016979403,-73.943894456115,FP,,(347) 459-4445,"1875 Amsterdam Ave, New York, New York, 10031",NY,10031,,Open,FP,Sat 08:00 AM-10:30 AM,
FATHER CREAVIN'S FOOD PANTRY,40.8259344477327,-73.9377593220853,FP,,(212) 281-2100,"276 W 151st St, New York, New York, 10039",NY,10039,,Open,FP,Tue 09:00 AM-11:00 AM,
FRIENDLY HANDS MINISTRY INC,40.804776512461,-73.937951016211,FP,,(646) 370-3978,"115 E 125th St, New York, NY, 10035, USA",NY,10035,,Open,FP,Wed 10:00 AM-12:00 PM; Thu 10:00 AM-12:00 PM,
SALT & SEA MISSION CHURCH INC.,40.588551112725,-73.983510348007,FP,,(917) 873-9261,"2417 Stillwell Ave, Brooklyn, New York, 11223",BK,11223,,Open,FP,Tue 10:30 AM-12:45 PM; Thu 10:30 AM-12:45 PM; Sun 10:30 AM-10:45 PM,
"SANCTIFIED CHURCH OF GOD, INC/COMMUNITY FEEDING PROGRAM",40.6623559494793,-73.9480946277958,FP,,(718) 493-2385,"404 Lefferts Ave, Brooklyn, New York, 11225",BK,11225,,Open,FP,Sat 12:00 PM-01:00 PM,
"SECOND ST. PAUL CHURCH OF CHRIST, DISCIPLE OF CHRIST, INC",40.6715179144738,-73.8800018904172,FP,,(718) 235-8922,"1048 Sutter Ave, Brooklyn, New York, 11208",BK,11208,,Open,FP,Sat 08:00 AM-10:00 AM,
SILOAM PRESBYTERIAN CHURCH FOOD PANTRY,40.68347889030514,-73.94730614216407,FP,,(718) 789-7050,"260 Jefferson Ave, Brooklyn, NY, 11216, USA",BK,11216,,Open,FP,Wed 10:00 AM-12:00 PM,
SISTERS WITH PURPOSE INC,40.6474756825005,-73.8775423047494,FP,,(646) 460-4101,"1540 Van Siclen Ave, Brooklyn, New York, 11239",BK,11239,,Open,FP,Sat 09:00 AM-10:00 AM,
SOLID ROCK BAPTIST CHURCH,40.69514955892,-73.9464071830485,FP,,(718) 384-8764,"120 Tompkins Ave, Brooklyn, New York, 11206",BK,11206,,Open,FP,Mon 09:00 AM-12:00 PM; Thu 09:00 AM-12:00 PM,
SOUTH BKLYN SEVENTH DAY ADVENTIST CHURCH COMMUNITY SERVICE PROGRAM,40.67969697559238,-73.97655579912316,FP,,(718) 783-1662,"42 Prospect Pl, Brooklyn, New York, 11217",BK,11217,,Open,FP,Sun 11:00 AM-02:00 PM,
"SOUTHSIDE UNITED H.D.F.C., INC - LOS SURES",40.712454668578,-73.9615405415937,FP,,(718) 599-1940,"145 S 3rd St, Brooklyn, New York, 11211",BK,11211,,Open,FP,Tue 09:00 AM-12:00 PM,
ST. MARK'S UNITED METHODIST CHURCH (FP),40.645083948339,-73.959485801849,FP,,(718) 282-6304,"2017 Beverley Rd, Brooklyn, New York, 11226",BK,11226,,Open,FP,Thu 12:00 PM-03:00 PM,
ST. PAUL PENTECOSTAL CHURCH,40.6803676954845,-73.9138246299298,FP,,(917) 604-9644,"133 Thomas S Boyland St, Brooklyn, New York, 11233",BK,11233,,Open,FP,Sat 11:00 AM-01:00 PM,
ST. PHILIP'S CHRISTIAN CHURCH,40.6910985012963,-73.9421528642728,FP,,(718) 453-0691,"765 Lafayette Ave, Brooklyn, New York, 11221",BK,11221,,Open,FP,Thu 12:00 PM-02:00 PM,
ST. THERESE OF LISIEUX R.C. CHURCH,40.641689612829,-73.9344359812953,FP,,(718) 451-0683,"4410 Avenue D, Brooklyn, New York, 11203",BK,11203,,Open,FP,Tue 10:30 AM-12:30 PM,
THE CHURCH OF ST. MARK (FP),40.668743462613,-73.944656287294,FP,,(718) 756-6607,"1417 Union St, Brooklyn, NY, 11213, USA",BK,11213,,Open,FP,Fri 11:30 AM-01:30 PM,
THE CITY OF GRACE INC,40.646948335062,-73.945096169573,FP,,(718) 693-7074,"3402 Tilden Ave, Brooklyn, NY, 11203, USA",BK,11203,,Open,FP,Tue 11:00 AM-01:00 PM,
THE SALVATION ARMY BEDFORD TEMPLE CORPS,40.690101893009,-73.950436699181,FP,,(718) 622-0614,"601 Lafayette Ave, Brooklyn, New York, 11216",BK,11216,,Open,FP,Wed 10:00 AM-12:00 PM,
THE TABLE AT THE FAMILY SUPPORT CENTER AT NYU LANGONE (FP),40.639194320254,-74.01449271199,FP,,(718) 630-7171,"550 59th St, Brooklyn, NY, 11220, USA",BK,11220,,Open,FP,Fri 09:00 AM-12:00 PM,
THE TEMPLE OF RESTORATION TTOR FOOD PANTRY (FP),40.684752101397,-73.981575804754,FP,,(646) 863-4239,"490 Pacific St, Brooklyn, New York, 11217",BK,11217,,Open,FP,Tue 10:00 AM-04:00 PM; Thu 10:00 AM-04:00 PM; Sat 10:00 AM-01:00 PM,
TRANSFIGURATION CHURCH (FP),40.704949722022,-73.955957942622,FP,,(718) 782-8181,"280 Marcy Ave, Brooklyn, New York, 11211",BK,11211,,Open,FP,Tue 09:00 AM-12:00 PM; Wed 09:00 AM-12:00 PM,
TREASURES IN EARTHEN JARS FOOD PANTRY (FP),40.632240400013,-73.936284274764,FP,,(718) 308-9147,"4124 Avenue H, Brooklyn, New York, 11210",BK,11210,,Open,FP,Sat 01:00 PM-03:00 PM,
TRINITY HUMAN SERVICE CORPORATION,40.7066049802613,-73.9441259642803,FP,,(718) 388-3176,"153 Johnson Ave, Brooklyn, NY, 11206, USA",BK,11206,,Open,FP,"Tue 09:00 AM-12:00 PM, 01:00 PM-04:00 PM; Wed 09:00 AM-12:00 PM, 01:00 PM-04:00 PM; Thu 09:00 AM-12:00 PM, 01:00 PM-04:00 PM; Fri 09:00 AM-12:00 PM, 01:00 PM-04:00 PM",
TRIUMPHANT FULL GOSPEL ASSEMBLY,40.6607879049428,-73.9299019584106,FP,,(718) 774-4696,"889 Rutland Rd, Brooklyn, New York, 11203",BK,11203,,Open,FP,Thu 02:00 PM-04:00 PM,
TRUE HOLY CHURCH OF GOD IN CHRIST JESUS,40.6759456548262,-73.90674854345,FP,,(718) 385-0248,"2364 Atlantic Ave, Brooklyn, New York, 11233",BK,11233,,Open,FP,Sat 10:00 AM-12:00 PM,
URBAN STRATEGIES INC,40.6602629882564,-73.9144207508836,FP,,(718) 346-2539,"61 Riverdale Ave, Brooklyn, New York, 11212",BK,11212,,Open,FP,Tue 08:00 AM-10:00 AM,
WIADCA CARES (FP),40.668719658008,-73.955600286813,FP,,(718) 467-1797,"1561 Bedford Ave, Brooklyn, New York, 11225",BK,11225,,Open,FP,Wed 10:00 AM-03:00 PM,
WORLD FOR CHRIST FOOD SERVICES,40.656627840668,-73.929183629308,FP,,(347) 249-8928,"874 Clarkson Ave, Brooklyn, New York, 11212",BK,11203,,Open,FP,Sat 10:00 AM-12:00 PM,
"ABRAHAM HOUSE, INC",40.811235607048,-73.92111621514,FP,,(718) 292-9321,"340 Willis Ave, Bronx, New York, 10454",BX,10454,,Open,FP,Sat 09:00 AM-11:00 AM,
ABUNDANT GRACE FOR THE FORSAKEN FOOD PANTRY,40.8713646563102,-73.8438703556749,FP,,(347) 350-4698,"3101 Eastchester Rd, Bronx, New York, 10469",BX,10469,,Open,FP,Sat 09:00 AM-11:00 AM,
ASH-SHIFAA INC FP,40.851637931006,-73.885060368984,FP,,(646) 353-0859,"2269 Crotona Ave, Bronx, New York, 10457",BX,10457,,Open,FP,Mon 01:00 PM-05:00 PM; Tue 01:00 PM-05:00 PM; Wed 01:00 PM-05:00 PM; Thu 01:00 PM-05:00 PM; Fri 02:00 PM-05:00 PM,
BRIGHT TEMPLE A.M.E. CHURCH/PROJECT F.I.L.L.,40.817192374177836,-73.88695828331959,FP,,(718) 542-7777,"812 Faile St, Bronx, New York, 10474",BX,10474,,Open,FP,Fri 10:00 AM-12:00 PM,
BRONX BETHANY COMMUNITY CORPORATION,40.8866890803383,-73.8513939519652,FP,,(718) 697-9672,"971 E 227th St, Bronx, New York, 10466",BX,10466,,Open,FP,Wed 09:00 AM-11:00 AM; Thu 03:00 PM-06:00 PM,
BRONX SEVENTH DAY ADVENTIST CHURCH (FP),40.842157034596,-73.900969472668,FP,,(646) 353-8926,"1695 Washington Ave, Bronx, New York, 10457",BX,10457,,Open,FP,Thu 02:00 PM-05:00 PM,
BRONX TEMPLE SEVENTH DAY ADVENTIST CHURCH,40.81500067413552,-73.91880104966405,FP,,(718) 842-4504,"495 Willis Ave, Bronx, New York, 10455",BX,10455,,Open,FP,Mon 11:30 AM-02:30 PM; Wed 11:30 AM-02:30 PM; Thu 11:30 AM-02:30 PM,
CCCS BRONX FOOD PANTRY,40.81809564997354,-73.91657992914159,FP,,(718) 292-9090,"402 E 152nd St, Bronx, New York, 10455",BX,10455,,Open,FP,Wed 04:00 PM-06:00 PM; Thu 10:00 AM-12:00 PM; Fri 10:00 AM-12:00 PM,
CHRIST DISCIPLES INTERNATIONAL MINISTRIES (FP),40.86962001954,-73.879713126846,FP,,(917) 999-8295,"3021 Webster Ave, Bronx, New York, 10467",BX,10467,,Open,FP,Mon 10:00 AM-03:00 PM; Wed 10:00 AM-03:00 PM; Sat 09:30 AM-12:30 PM,
CHURCH OF THE ATONEMENT FOOD PANTRY,40.8333860015652,-73.8663358678419,FP,,(718) 828-6078,"1344 Beach Ave, Bronx, New York, 10472",BX,10472,,Open,FP,Sat 10:00 AM-12:00 PM,
COOP CITY SDA CHURCH FOOD PANTRY,40.880352319628,-73.831067501489,FP,,(718) 320-0518,"1010 Baychester Ave, Bronx, New York, 10475",BX,10475,,Open,FP,Wed 05:30 PM-07:00 PM,
DAVIDSON COMMUNITY CENTER INC (FP),40.853601014639,-73.908556771422,FP,,(718) 731-6360,"2038 Davidson Ave, Bronx, New York, 10453",BX,10453,,Open,FP,Fri 05:00 PM-08:00 PM,
EMANUEL PENTECOSTAL FAITH CHURCH,40.83161264231,-73.879749092217,FP,,(718) 842-4092,"1310 Elder Ave, Bronx, New York, 10472",BX,10472,,Open,FP,Wed 12:00 PM-02:00 PM,
"EVERY DAY IS A MIRACLE, INC (FP)",40.861683055228,-73.901634409047,FP,,(347) 618-1162,"2424 Jerome Ave, Bronx, NY, 10468, USA",BX,10468,,Open,FP,Thu 08:30 AM-12:00 PM,
FELLOWSHIP COVENANT CHURCH,40.8217227090251,-73.8484113355393,FP,,(718) 829-2116,"720 Castle Hill Ave, Bronx, New York, 10473",BX,10473,,Open,FP,Wed 09:00 AM-11:30 AM,
GETHSEMANE BAPTIST CHURCH (FP),40.842987344124,-73.88947053333,FP,,(347) 948-0772,771 FAIRMOUNT PLACE,BX,10460,,Open,FP,Thu 08:00 AM-10:00 AM,
GIVE BY GRACE WHAT BY GRACE YOU HAVE RECEIVED INC (FP),40.823797271971,-73.895993891124,FP,,(718) 710-9339,"936 E 165th St, Bronx, New York, 10459",BX,10459,,Open,FP,Fri 12:00 PM-01:30 PM,
GIVE THEM TO EAT (FP),40.817630705804,-73.904362969987,FP,,(646) 306-1724,"800 E 156th St, Bronx, New York, 10455",BX,10455,,Open,FP,Fri 11:00 AM-03:00 PM,
GOOD NEIGHBOR COMMUNITY OUTREACH AGENCY INC,40.875711678935,-73.848638736572,FP,,(718) 652-3288,"3356 Seymour Ave, Bronx, New York, 10469",BX,10469,,Open,FP,Wed 12:00 PM-02:00 PM; Fri 07:00 PM-09:00 PM,
GRAND CONCOURSE SEVENTH DAY ADVENTIST CHURCH,40.836383202502674,-73.91634003907272,FP,,(718) 681-2232,"1275 Grand Conc, Bronx, New York, 10452",BX,10452,,Open,FP,Wed 01:30 PM-04:00 PM,
HARVEST TO HAVEN,40.8092240760146,-73.9255280298765,FP,,(718) 665-5250,"210 Alexander Ave, Bronx, NY, 10454, USA",BX,10454,,Open,FP,Wed 10:00 AM-02:00 PM; Thu 10:00 AM-02:00 PM,
INSPIRATIONAL GOSPEL ASSEMBLY,40.8314386340004,-73.9092226298103,FP,,(347) 758-6447,"1211 Brook Ave, Bronx, New York, 10456",BX,10456,,Open,FP,Sat 11:00 AM-01:00 PM,
JAMAICA BENEVOLENT ARM & CULTURAL CENTER,40.887725544575,-73.830704900357,FP,,(646) 907-9858,"2230 Light St, Bronx, New York, 10466",BX,10466,,Open,FP,Sat 10:00 AM-12:00 PM,
LT WORKS FOOD PANTRY,40.824114066001,-73.844195070604,FP,,(347) 810-1201,"2347 Lafayette Ave, Bronx, New York, 10473",BX,10473,,Open,FP,Thu 10:30 AM-12:30 PM,
MORRISANIA REVITALIZATION CORP INC,40.825656298013534,-73.90670875342784,FP,,(718) 589-7858,"576B E 165th St, Bronx, NY, 10456, USA",BX,10456,,Open,FP,Mon 09:00 AM-01:00 PM; Wed 09:00 AM-01:00 PM; Fri 09:00 AM-01:00 PM,
MOSAIC BEACON COMMUNITY CENTER (FP),40.839680643212,-73.925700110349,FP,,(917) 962-9955,"1257 Ogden Ave, Bronx, New York, 10452",BX,10452,,Open,FP,Fri 03:00 PM-05:00 PM,
MOSHOLU MONTEFIORE COMMUNITY CENTER FP,40.881965584532,-73.880582337212,FP,,(718) 882-4000,"3450 Dekalb Ave, Bronx, New York, 10467",BX,10467,,Open,FP,Wed 10:00 AM-12:00 PM,
NEW CONVENANT COMMUNITY DEVELOPMENT CORP,40.82893143912261,-73.90323484963888,FP,,(718) 328-6072,"1175 Boston Rd, Bronx, New York, 10456",BX,10456,,Open,FP,Tue 02:00 PM-04:00 PM; Thu 10:00 AM-01:00 PM,
NEW YORK COMMON PANTRY - BRONX,40.830863425895,-73.8903926843267,FP,,(917) 423-2701,"1290 Hoe Ave, Bronx, New York, 10459",BX,10459,,Open,FP,Thu 10:00 AM-02:30 PM; Fri 10:00 AM-02:30 PM; Sat 10:00 AM-02:30 PM,
PARKCHESTER BAPTIST CHURCH (FP),40.834525060297,-73.857174782947,FP,,(718) 823-8124,"2021 Benedict Ave, Bronx, New York, 10462",BX,10462,,Open,FP,Tue 11:00 AM-12:00 PM,
"THE HARDING FORD VISION, INC",40.698230285523,-73.797112327906,FP,,(347) 661-7382,"157-22 Tuskegee Airmen Way, Jamaica, New York, 11433",QN,11433,JAMAICA,Open,FP,Wed 10:00 AM-12:00 PM; Fri 02:00 PM-04:00 PM,
PROJECT L.E.A.D.,40.7040034051537,-73.8255130657114,FPK,,(718) 495-6210,"85-12 126th St, Kew Gardens, New York, 11415",QN,11415,KEW GARDENS,Open,FP,Sun 07:30 AM-09:30 AM,
SAM FIELD Y (FPK),40.761333862674,-73.722885294688,FPK,,(718) 704-8160,"58-25 Little Neck Pkwy, Little Neck, NY, 11362, USA",QN,11362,LITTLE NECK,Open,FP,Mon 09:00 AM-02:00 PM; Tue 11:00 AM-02:00 PM; Wed 09:00 AM-02:00 PM; Thu 09:00 AM-02:00 PM; Fri 09:00 AM-12:00 PM,
ST. CLEMENTS FOOD PANTRY (FP),40.761480294523,-73.991641967553,FP,,(212) 246-7277,"423 W 46th St, New York, New York, 10036",NY,10036,LOCATED BETWEEN 9TH & 10TH AVE,Open,FP,Fri 02:00 PM-06:00 PM; Sat 08:00 AM-11:30 AM,
CENTER OF HOPE INTERNATIONAL,40.756916934977,-73.941854049425,FP,,(718) 784-4673,"38-49 12nd St, Long Island City, New York, 11101",QN,11101,LONG ISLAND CITY,Open,FP,Tue 12:00 PM-03:00 PM; Wed 11:00 AM-02:00 PM; Thu 11:00 AM-02:00 PM,
EVANGEL FOOD PANTRY,40.7542084067847,-73.9371155919214,FP,,(718) 361-5454,"39-21 Crescent St, Long Island City, New York, 11101",QN,11101,LONG ISLAND CITY,Open,FP,Tue 09:00 AM-03:00 PM; Wed 09:00 AM-03:00 PM; Thu 09:00 AM-03:00 PM; Fri 09:00 AM-03:00 PM; Sat 09:00 AM-12:00 PM,
HOUR CHILDREN COMMUNITY OUTREACH (FP),40.759936767053,-73.940527780885,FP,,(718) 482-8226,"36-49 11th St, Astoria, New York, 11106",QN,11106,LONG ISLAND CITY,Open,FP,Mon 02:00 AM-04:00 PM; Tue 10:30 AM-12:30 PM; Thu 02:00 PM-04:00 PM,
IGLESIA ALIANZA MISIONERA EBENEZER (FP),40.745653920223,-73.926867374185,FP,,(718) 729-1944,"43-02 38th St, Long Island City, New York, 11101",QN,11101,LONG ISLAND CITY,Open,FP,Sat 08:00 AM-01:00 PM,
ST. RAPHAEL CHURCH FOOD PANTRY (FP),40.737154754222,-73.930045875688,FP,,(718) 729-8957,"35-20 Greenpoint Ave, Sunnyside, New York, 11104",QN,11104,LONG ISLAND CITY,Open,FP,Thu 10:30 AM-12:00 PM; Sat 01:30 PM-03:00 PM,
CHURCH OF THE ANNUNCIATION,40.81627170593305,-73.95296510027394,FP,,(212) 234-1919,"88 Convent Ave, New York, New York, 10027",NY,10027,NEAR 132ND STREET,Open,FP,Tue 02:00 PM-05:00 PM,
ST. PETER'S FOOD PANTRY,40.7441535176449,-74.0019205277795,FP,,(212) 929-2390,"346 W 20th St, New York, New York, 10011",NY,10011,NEAR 9TH AVE,Open,FP,Sat 10:30 AM-11:30 AM,
UNITED METHODIST CENTER IN FAR ROCKAWAY,40.603122464662,-73.751793305274,FP,SK,(718) 327-5071,"1032 Beach 19th St, Far Rockaway, NY, 11691, USA",QN,11691,NEAR MOTT AVE,Open,"FP,SK","Tue 09:30 AM-11:00 AM, 01:00 PM-04:00 PM; Wed 09:30 AM-11:00 AM, 01:00 PM-04:00 PM","Mon 12:00 PM-01:00 PM, 04:30 PM-05:30 PM; Tue 12:00 PM-01:00 PM, 04:30 PM-05:30 PM; Wed 12:00 PM-01:00 PM, 04:30 PM-05:30 PM; Thu 12:00 PM-01:00 PM, 04:30 PM-05:30 PM; Fri 12:00 PM-01:00 PM, 04:30 PM-05:30 PM"
DIVINE FOOD PANTRY,40.714770504606,-73.742948385767,FP,,(516) 415-1192,"215-31 99th Ave, Queens Village, New York, 11429",QN,11429,QUEENS VILLAGE,Open,FP,Fri 04:00 PM-06:30 PM,
HOLLIS AVENUE CONGREGATIONAL CHURCH,40.7088860313915,-73.74634565494318,FP,,(718) 468-1498,"211-04 Hollis Ave, Queens Village, New York, 11429",QN,11429,QUEENS VILLAGE,Open,FP,Tue 08:00 AM-11:00 AM,
BLACK FORUM OF CO-OP CITY,40.877169417626,-73.833184183498,FP,,(718) 320-8035,"920 Baychester Ave, Bronx, New York, 10475",BX,10475,REAR LOBBY LEVEL,Open,FP,Thu 11:00 AM-12:45 PM; Fri 11:00 AM-12:45 PM,
CALVARY'S MISSION,40.693218368428,-73.843565254399,FP,,,"102-16 89th Ave, Richmond Hill, New York, 11418",QN,11418,RICHMOND HILL,Open,FP,Fri 03:30 PM-06:30 PM,
RIVER FUND,40.696941526,-73.829205880793,FP,,(718) 441-1125,"89-11 Lefferts Blvd, Richmond Hill, New York, 11418",QN,11418,RICHMOND HILL,Open,FP,Wed 09:00 AM-11:30 AM; Sat 09:00 AM-11:30 AM,
ST. THOMAS AQUINAS FOOD PANTRY  (FP),40.840785084684,-73.885468567668,FP,,(718) 589-5235,"1900 Crotona Pkwy, Bronx, New York, 10460",BX,10460,SIDE OF CHURCH/BASEMENT,Open,FP,Wed 10:00 AM-12:00 PM,
DELIVERANCE TEMPLE CHURCH OF JESUS CHRIST,40.674453424604,-73.804106942287,FP,,(718) 529-1993,"134-10 Rockaway Blvd, South Ozone Park, New York, 11420",QN,11420,SOUTH OZONE PARK,Open,FP,Tue 05:30 PM-06:30 PM,
MORRIS BROWN HELPING HAND FOOD PROGRAM,40.6738038271078,-73.7934154056913,FP,,(718) 322-7596,"145-03 Rockaway Blvd, Jamaica, New York, 11436",QN,11436,SOUTH OZONE PARK,Open,FP,Wed 10:00 AM-12:00 PM,
BVM/ST. MARY'S CHURCH WINFIELD,40.7384780052763,-73.892792842301,FP,,(718) 672-4848,"70-31 48th Ave, Woodside, New York, 11377",QN,11377,WOODSIDE,Open,FP,Thu 09:30 AM-12:00 PM,
SAINT TERESA CHURCH - SAINT VINCENT DePAUL SOCIETY,40.7370094120209,-73.9210412809258,FP,,(718) 784-2123,"50-20 45th St, Woodside, New York, 11377",QN,11377,WOODSIDE,Open,FP,Tue 04:00 PM-05:30 PM,
ADMIRABLE CHURCH INC (FP),40.623151231847,-73.937678101444,FP,,(347) 779-7192,"1910 Flatbush Ave, Brooklyn, New York, 11210",BK,11210,,Open,FP,Sat 10:00 AM-12:00 PM,
APNA FOOD PANTRY BRIGHTON BEACH,40.58172908173023,-73.96168211193833,FP,,(718) 513-4700,"225 Neptune Ave, Brooklyn, New York, 11235",BK,11235,,Open,FP,Wed 02:00 PM-03:00 PM,
KINGS BAY Y FOOD PANTRY,40.598730934131,-73.941331353943,FPK,,(718) 648-7703,"3495 Nostrand Ave, Brooklyn, New York, 11229",BK,11229,,Open,FP,Fri 09:30 AM-11:00 AM,
METROPOLITAN COUNCIL ON JEWISH POVERTY,40.638733357489,-73.923713431658,FPK,,(718) 763-5318,"5361 Preston Ct, Brooklyn, New York, 11234",BK,11234,,Open,FP,Tue 03:00 PM-05:00 PM; Thu 03:00 PM-05:00 PM,
NAT'L COMM. FOR FUTH. OF JEWISH ED.(UC),40.6689654154093,-73.9410246601054,FPK,,(718) 735-0200,"824 Eastern Pkwy, Brooklyn, New York, 11213",BK,11213,,Open,FP,Fri 12:00 PM-01:00 PM,
SEPHARDIC BIKUR HOLIM FOOD PANTRY (FPK),40.604623537792,-73.974870868947,FPK,,(718) 787-1100,"425 Kings Hwy, Brooklyn, New York, 11223",BK,11223,,Open,FP,"Mon 09:00 AM-12:30 PM, 01:00 PM-04:30 PM; Tue 09:00 AM-12:30 PM, 01:00 PM-04:30 PM; Wed 09:00 AM-12:30 PM, 01:00 PM-04:30 PM; Thu 09:00 AM-12:30 PM, 01:00 PM-04:30 PM; Fri 09:00 AM-01:00 PM",
SHALOM SENIOR CENTER,40.663361191127,-73.939834429854,FPK,,(718) 774-9213,"483 Albany Ave, Brooklyn, New York, 11203",BK,11203,,Open,FP,Mon 01:00 PM-02:00 PM; Tue 01:00 PM-02:00 PM; Wed 01:00 PM-02:00 PM; Thu 01:00 PM-02:00 PM; Fri 12:00 PM-01:00 PM,
TOMCHE SHABBOS OF BORO PARK,40.625370424532,-73.9970001829774,FPK,,(718) 259-5576,"6225 New Utrecht Ave, Brooklyn, New York, 11219",BK,11219,,Open,FP,Wed 03:00 PM-05:00 PM,
ZICHRON ACHEINU LEVY-MENACHEM TZION,40.639623347968,-73.994726005008,FPK,,(347) 742-0552,"4518 11th Ave, Brooklyn, New York, 11219",BK,11219,,Open,FP,Wed 10:00 AM-12:00 PM,
JEWISH COMMUNITY COUNCIL OF PELHAM PARKWAY,40.85534281602844,-73.8658499689148,FPK,,(718) 792-4744,"2157 Holland Ave, Bronx, New York, 10462",BX,10462,,Open,FP,Thu 11:00 AM-03:00 PM,
JEWISH COMMUNITY COUNCIL OF WASHINGTON HGTS,40.854067844736,-73.934593393437,FPK,,(212) 568-5450,"121 Bennett Ave, New York, NY, 10033, USA",NY,10033,#11A,Open,FP,Wed 10:00 AM-01:00 PM,
LILLIAN WALD FOOD PANTRY,40.720245521851,-73.978182475072,FPK,,(212) 260-2731,"12 Avenue D, New York, New York, 10009",NY,10009,,Open,FP,Tue 10:00 AM-02:00 PM; Wed 10:00 AM-02:00 PM,
ESTHER GRUNBLATT-CENTRAL QUEENS Y (FPK),40.728684128601,-73.847202916558,FPK,,(718) 704-8160,"67-09 108th St, Forest Hills, New York, 11375 ",QN,11375,,Open,FP,"Mon 09:00 AM-02:00 PM, 03:30 PM-06:30 PM; Tue 09:00 PM-02:00 PM; Wed 09:00 AM-02:00 PM, 03:30 PM-06:30 PM; Thu 09:00 AM-02:00 PM; Fri 09:00 AM-12:00 PM",
JEWISH COMMUNITY COUNCIL OF THE ROCKAWAY PENINSULA,40.605287468343,-73.751658775728,FPK,,(718) 327-7755,"15-25 Central Ave, Far Rockaway, NY, 11691, USA",QN,11691,,Open,FP,Tue 09:30 AM-01:30 PM; Thu 09:30 AM-01:30 PM,
