FID,type_fp,type_sk,program,org_phone,distadd,distboro,distzip,dist_location_info,fp_days_orig,fp_hours_orig,sk_days_orig,sk_hours_orig,fp_mon,fp_mon_open1,fp_mon_close1,fp_mon_open2,fp_mon_close2,fp_tue,fp_tue_open1,fp_tue_close1,fp_tue_open2,fp_tue_close2,fp_wed,fp_wed_open1,fp_wed_close1,fp_wed_open2,fp_wed_close2,fp_thu,fp_thu_open1,fp_thu_close1,fp_thu_open2,fp_thu_close2,fp_fri,fp_fri_open1,fp_fri_close1,fp_fri_open2,fp_fri_close2,fp_sat,fp_sat_open1,fp_sat_close1,fp_sat_open2,fp_sat_close2,fp_sun,fp_sun_open1,fp_sun_close1,fp_sun_open2,fp_sun_close2,sk_mon,sk_mon_open1,sk_mon_close1,sk_mon_open2,sk_mon_close2,sk_tue,sk_tue_open1,sk_tue_close1,sk_tue_open2,sk_tue_close2,sk_wed,sk_wed_open1,sk_wed_close1,sk_wed_open2,sk_wed_close2,sk_thu,sk_thu_open1,sk_thu_close1,sk_thu_open2,sk_thu_close2,sk_fri,sk_fri_open1,sk_fri_close1,sk_fri_open2,sk_fri_close2,sk_sat,sk_sat_open1,sk_sat_close1,sk_sat_open2,sk_sat_close2,sk_sun,sk_sun_open1,sk_sun_close1,sk_sun_open2,sk_sun_close2,fp_notes,sk_notes,CreationDate,Creator,EditDate,Editor,GlobalID,lat,lon,address_score,subregion,status,program_type,fp_mon_open3,fp_mon_close3,fp_tue_open3,fp_tue_close3,fp_wed_open3,fp_wed_close3,fp_thu_open3,fp_thu_close3,fp_fri_open3,fp_fri_close3,fp_sat_open3,fp_sat_close3,fp_sun_open3,fp_sun_close3,sk_mon_open3,sk_mon_close3,sk_tue_open3,sk_tue_close3,sk_wed_open3,sk_wed_close3,sk_thu_open3,sk_thu_close3,sk_fri_open3,sk_fri_close3,sk_sat_open3,sk_sat_close3,sk_sun_open3,sk_sun_close3,geometry,geoid,nta2020,id
148,FP,,CHURCH OF GOD INC.,(718) 493-3031,"1011 Winthrop St, Brooklyn, New York, 11212",BK,11212,,SAT,12-1PM,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,open,12:00 PM,01:00 PM,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1680892750097,rwrenner_nyc,681dc77f-0ceb-49f6-bc7d-7b0407b41810,40.6602317656671,-73.9260760387062,100.0,Kings County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.9260760389434 40.6602317658103),36047088200,BK1704,85
149,FP,,CHURCH OF GOD OF SALVATION,(718) 693-6486,"1615 Nostrand Ave, Brooklyn, New York, 11226",BK,11226,,WED/THUR,2-4PM/10AM-5PM,,,closed,,,,,closed,,,,,open,02:00 PM,04:00 PM,,,open,10:00 AM,04:00 PM,,,closed,,,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1732784422515,maps.nyc.data,dcd6234f-a8c0-40f1-bdfe-363dea01f439,40.646673031452,-73.948961735679,100.0,Kings County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.948961735679 40.646673031452),36047082600,BK1701,86
150,FP,,CHURCH OF PRAISE AND WORSHIP GOD IN CHRIST,(347) 462-5679,"526 Ralph Ave, Brooklyn, New York, 11233",BK,11233,,SAT,11AM-1PM,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,open,10:00 AM,01:00 PM,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1732784422515,maps.nyc.data,a81a0cd9-b9b0-4a2d-97a4-554bbeaac738,40.671422486506,-73.922488081233,100.0,Kings County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.922488081233 40.671422486506),36047035900,BK0802,87
152,FP,,COMMUNITY CARE FOOD PANTRY,(917) 304-3406,"1387 E 37th St, Brooklyn, New York, 11210",BK,11210,,SAT,11AM-2:30PM,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,open,11:00 AM,02:30 PM,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1732784422515,maps.nyc.data,0af8ccc5-960d-45be-bc9b-cda63a8b553e,40.622198419004,-73.93909816348,100.0,Kings County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.93909816348 40.622198419004),36047073800,BK1801,88
153,FP,,COMMUNITY SERVICES HOUSING DEVELOPMENT CORP.,(646) 794-5961,"547 Howard Ave, Brooklyn, New York, 11233",BK,11233,,THUR,10AM-12PM,,,closed,,,,,closed,,,,,closed,,,,,open,10:00 AM,12:00 PM,,,closed,,,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1680892750097,rwrenner_nyc,5a8659c3-366d-4ee2-94bd-d80415fd2be0,40.6690178861232,-73.9198218816518,100.0,Kings County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.9198218816971 40.6690178862874),36047036100,BK1601,89
154,FP,,COMPASSION HOUSE COMMUNITY DEVELOPMENT CORPORATION,(718) 386-8151,"43 George St, Brooklyn, NY, 11206, USA",BK,11206,,THUR,8:30AM-12PM,,,closed,,,,,closed,,,,,closed,,,,,open,09:00 AM,11:30 AM,,,closed,,,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ST & 3RD THURSDAY,,1680892750097,rwrenner_nyc,1732784422515,maps.nyc.data,8ee6a315-7753-400d-b80e-99ea86afca40,40.701437956049,-73.931591582453,100.0,Kings County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.931591582453 40.701437956049),36047042500,BK0401,90
155,FP,,COPO FOOD PANTRY  (FPH),(718) 434-3266,"1077 Coney Island Ave, Brooklyn, New York, 11230",BK,11230,,FRI,1:30-4:50PM,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,open,10:30 AM,04:30 PM,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1711612815423,maps.nyc.data,dfdfe448-778a-410c-b774-8f3e6c33a84a,40.631334567737,-73.966304312444,100.0,Kings County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.966304312444 40.631334567737),36047052800,BK1402,91
158,FP,,EAST NEW YORK SEVENTH DAY ADVENTIST CHURCH,(917) 470-8924,"511 Elton St, Brooklyn, New York, 11208",BK,11208,,"THUR(2,4)",11AM-2PM,,,closed,,,,,closed,,,,,closed,,,,,open,11:00 AM,02:00 PM,,,closed,,,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONLY OPERATE 1ST & 3RD THURSDAY OF THE MONTH,,1680892750097,rwrenner_nyc,1762592415095,maps.nyc.data,6d6eec98-77f0-4635-a3dc-7f33f0ee9731,40.670394865177,-73.88242811611,100.0,Kings County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.88242811611 40.670394865177),36047116400,BK0502,92
159,FP,,EAST NEW YORK WESLEYAN CHURCH/NEW HOPE FAMILY WORSHIP CENTER,(718) 342-1305,"817 Livonia Ave, Brooklyn, New York, 11207",BK,11207,,SAT,11AM - 2PM,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,open,11:00 AM,01:00 PM,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1706605215185,maps.nyc.data,9d0d4ec9-80f9-4f5c-942b-dcbd91a28ef9,40.665996335757,-73.88651764667,100.0,Kings County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.88651764667 40.665996335757),36047112400,BK0503,93
161,FP,,"BEYOND WALLS, INC",(347) 406-5878,"188 E 53rd St, Brooklyn, New York, 11203",BK,11203,,,,,,closed,,,,,open,01:30 PM,03:00 PM,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1735635620153,maps.nyc.data,f89737d2-3707-4664-974d-e387c1332ab2,40.655301530219,-73.928005720455,100.0,Kings County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.928005720455 40.655301530219),36047086800,BK1703,94
163,FP,,EMMAUS SEVENTH DAY ADVENTIST CHURCH (FP),(704) 502-1450,"1144 Flatbush Ave, Brooklyn, New York, 11226",BK,11226,,TUE,12:30-2PM,,,closed,,,,,open,12:30 PM,02:00 PM,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1710489628676,maps.nyc.data,6d558564-fe5d-46a0-8c59-84c8d25bfa67,40.64246519033,-73.957698025721,100.0,Kings County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.957698025721 40.64246519033),36047051602,BK1401,95
164,FP,,PENIEL HAITIAN CHURCH OF C AND MA,(718) 469-3685,"2741 Albemarle Rd, Brooklyn, New York, 11226",BK,11226,,SAT/SAT(2ND),10AM-12PM/1-3PM,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,open,10:00 AM,12:00 PM,01:00 PM,03:00 PM,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-3pm is 2nd Saturday only,,1680892750097,rwrenner_nyc,1680892750097,rwrenner_nyc,708e73cd-d092-4dda-9e87-c8848b5269e1,40.6481952269786,-73.9506515273595,100.0,Kings County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.9506515277505 40.6481952268936),36047082400,BK1701,96
165,FP,,FAMILY LIFE DEVELOPMENT CENTER,(718) 636-4938,"1476 Bedford Ave, Brooklyn, New York, 11216",BK,11216,,,,,,open,04:00 PM,06:00 PM,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1758182416312,maps.nyc.data,300c93fe-2846-45d0-b229-b52a59e0d65d,40.672925487474,-73.95442757474,100.0,Kings County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.95442757474 40.672925487474),36047021900,BK0802,97
167,FP,,FEEDING THE VULNERABLE-FORT GREENE,(419) 619-3292,"141 Flushing Ave, Brooklyn, New York, 11205",BK,11205,,SAT,9AM-1PM,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,open,09:00 AM,01:00 PM,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Pantry SAT 9AM-1PM ,,1680892750097,rwrenner_nyc,1719475235062,maps.nyc.data,947f6adb-cd80-47f3-98ab-52a0873c31a1,40.698121404600386,-73.97119557204246,100.0,Kings County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.9711955720425 40.6981214046004),36047054300,BK0261,98
168,FP,,FERNANDE VALME' MINISTRIES INC,(718) 284-1809,"1120 Flatbush Ave, Brooklyn, New York, 11226",BK,11226,,THUR,10-11AM,,,closed,,,,,closed,,,,,closed,,,,,open,10:00 AM,11:00 AM,,,closed,,,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1680892750097,rwrenner_nyc,7c9e2a51-0800-408e-ad86-a4056b492db1,40.643158667089,-73.9579009515969,100.0,Kings County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.9579009518562 40.6431586674257),36047051602,BK1401,99
169,FP,,FLATBUSH SEVENTH DAY ADVENTIST CHURCH (FP),(718) 693-9180,"261 E 21st St, Brooklyn, NY, 11226, USA",BK,11226,,MON,11AM-1PM,,,open,11:00 AM,01:00 PM,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1706259615729,maps.nyc.data,71b4f1f0-0031-4d2a-9754-73ae8c4b2bd2,40.648057177033,-73.959354876522,100.0,Kings County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.959354876522 40.648057177033),36047051002,BK1401,100
170,FP,,"FOOD FIRST, INC",(718) 399-7395,"165 Conover St, Brooklyn, New York, 11231",BK,11231,,WED/FRI,11AM-1PM/1AM-12PM,,,closed,,,,,closed,,,,,open,10:00 AM,12:00 PM,,,closed,,,,,open,10:00 AM,12:00 PM,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1748678413709,maps.nyc.data,8c6869d4-ce74-44ec-a362-9c6711ea42e1,40.678224107566,-74.013866164728,100.0,Kings County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-74.013866164728 40.678224107566),36047005301,BK0601,101
173,FP,,PENIEL SEVENTH DAY ADVENTIST CHURCH,(518) 652-3246,"1210 Utica Ave, Brooklyn, New York, 11203",BK,11203,,FRI,10AM-12PM,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,open,10:00 AM,12:00 PM,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1719475235062,maps.nyc.data,35d11e81-d14b-4919-a764-576481152e4c,40.64305347420418,-73.92975686766661,100.0,Kings County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.9297568676666 40.6430534742042),36047084000,BK1702,102
176,FP,,PRESBYTERIAN CHURCH OF THE CROSSROADS,(718) 657-8404,"133 Elton St, Brooklyn, New York, 11208",BK,11208,,"WED (2,4)",10AM-12PM,,,closed,,,,,closed,,,,,open,10:00 AM,12:00 PM,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open 2nd & 4th Wednesday,,1680892750097,rwrenner_nyc,1755763215844,maps.nyc.data,a4c81371-8f6f-40e3-bd75-0e2659a3edb0,40.680539901685,-73.884692906348,100.0,Kings County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.884692906348 40.680539901685),36047116800,BK0501,103
177,FP,,"POWER PRAISE AND DELIVERANCE, INC",(347) 409-0288,"120 E 184th St, Bronx, New York, 10468",BX,10468,,FRI,12-4PM,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,open,12:00 PM,04:00 PM,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1680892750097,rwrenner_nyc,6e5164e3-71ab-4063-bea2-25e5487d3278,40.8596232444326,-73.9004342881499,100.0,Bronx County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.9004342885216 40.8596232444512),36005023703,BX0503,104
181,FP,,REACHING-OUT COMMUNITY SERVICES INC,(718) 373-4565,"7708 New Utrecht Ave, Brooklyn, New York, 11214",BK,11214,,TUE-FRI,11AM-3PM,,,open,09:00 AM,05:00 PM,,,open,09:00 AM,05:00 AM,,,open,09:00 AM,05:00 AM,,,open,09:00 AM,05:00 AM,,,open,09:00 AM,05:00 AM,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1680892750097,rwrenner_nyc,cbf9543f-87d9-49b0-a30e-3a4e39eb28fa,40.6139845310776,-74.000636587851,100.0,Kings County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-74.0006365875127 40.6139845311799),36047018200,BK1101,105
184,FP,,RESURRECTION AND LIFE PENTECOSTAL CHURCH (FP),(929) 472-4201,"870 E 163rd St, Bronx, New York, 10459",BX,10459,,,,,,closed,,,,,open,12:00 PM,02:00 PM,,,closed,,,,,closed,,,,,closed,,,,,open,10:00 AM,12:00 PM,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1707814815332,maps.nyc.data,1ff7dc2e-476d-430b-9717-08476b0fbad6,40.821526321034,-73.899285799777,100.0,Bronx County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.899285799777 40.821526321034),36005012901,BX0202,106
187,FP,,SPANISH SEVENTH DAY ADVENTIST CHURCH FOOD PANTRY,(845) 729-8804,"1038 Prospect Ave, Bronx, New York, 10459",BX,10459,,THUR,8:30-11:30AM,,,closed,,,,,closed,,,,,closed,,,,,open,10:00 AM,01:00 PM,,,closed,,,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1739955619523,maps.nyc.data,fe817d9b-3dcb-43e5-bccb-10ece023f14d,40.82473575176,-73.899309017649,100.0,Bronx County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.899309017649 40.82473575176),36005013100,BX0202,107
188,FP,,SPANISH SOUNDVIEW SEVENTH DAY ADVENTIST CHURCH,(718) 842-7373,"1822 Lacombe Ave, Bronx, New York, 10473",BX,10473,,WED,8AM-12:30PM,,,closed,,,,,closed,,,,,open,08:00 AM,12:30 PM,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1719475235062,maps.nyc.data,af24810f-a19e-46de-ae3d-855211d8d95f,40.81490784455784,-73.86122952860838,100.0,Bronx County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.8612295286084 40.8149078445578),36005000200,BX0902,108
191,FP,,ST. BRENDAN & ST. ANN PARISH,(718) 547-6655,"268 E 207th St, Bronx, New York, 10467",BX,10467,,SAT,7:30-9AM,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,open,07:30 AM,09:00 AM,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1680892750097,rwrenner_nyc,68bd914a-7b35-4308-80de-8f30391a5eaa,40.8754643289724,-73.8775260438572,100.0,Bronx County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.8775260441358 40.8754643287559),36005042300,BX0703,109
192,FP,,ST. EDMUNDS YOUTH PROGRAM INC,(718) 466-9370,"1905 Morris Ave, Bronx, New York, 10453",BX,10453,,THUR,12-2PM,,,closed,,,,,closed,,,,,closed,,,,,open,12:00 PM,02:00 PM,,,closed,,,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1680892750097,rwrenner_nyc,2dab502a-6051-451b-bb12-6b5f29aca98c,40.8499230355257,-73.9080897317771,100.0,Bronx County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.9080897313729 40.849923035406),36005023301,BX0502,110
194,FP,,ST. JEROME H.A.N.D.S. COMMUNITY CENTER,(718) 402-7866,"330 E 138th St, Bronx, New York, 10454",BX,10454,,,,,,closed,,,,,closed,,,,,open,10:00 AM,01:00 PM,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1719475235062,maps.nyc.data,fa6e3f11-5ba2-4339-9dd7-8f8683b1561b,40.809893540861616,-73.92489843908047,100.0,Bronx County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.9248984390805 40.8098935408616),36005002300,BX0101,111
195,FP,,ST. LUKES FOOD PANTRY,(718) 665-6677,"623 E 138th St, Bronx, New York, 10454",BX,10454,,FRI,10AM-12PM,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,open,10:00 AM,01:00 PM,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1708506015263,maps.nyc.data,b298a9a8-6bcf-4a96-8c85-e2b43e8d2bc4,40.80619456284,-73.915570245085,100.0,Bronx County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.915570245085 40.80619456284),36005002702,BX0101,112
196,FP,,ST. PAUL'S LUTHERAN CHURCH,(718) 822-4535,"1891 Mcgraw Ave, Bronx, New York, 10462",BX,10462,,,,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,open,08:00 AM,10:00 AM,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1736240419772,maps.nyc.data,15606e57-e800-4779-a352-5ee3397b674c,40.834569484384,-73.862510367233,100.0,Bronx County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.862510367233 40.834569484384),36005021602,BX0904,113
200,FP,,THE GAMBIAN YOUTH ORGANIZATION FOOD PANTRY (FP),(646) 470-6330,"214 E 181st St, Bronx, New York, 10457",BX,10457,,,,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,open,02:00 PM,05:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open 2nd & 4th Sunday,,1680892750097,rwrenner_nyc,1709802016357,maps.nyc.data,4c7c947a-8e2f-4324-a5dc-7bc9e911da6d,40.854303962949,-73.90081348545,100.0,Bronx County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.90081348545 40.854303962949),36005038100,BX0502,114
203,FP,,THESSALONIA BAPTIST CHURCH,(718) 542-0828,"951 Rev James A Polite Ave, Bronx, New York, 10459",BX,10459,,TUE,10:30-11:30AM,,,closed,,,,,open,10:00 AM,11:30 AM,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1696579216528,maps.nyc.data,da95311f-b1a3-4e5e-9f33-0c903e4ae26d,40.822275830816,-73.899037024891,100.0,Bronx County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.899037024891 40.822275830816),36005012901,BX0202,115
204,FP,,THORPE FAMILY RESIDENCE,(718) 295-2550,"406 E 184th St, Bronx, New York, 10458",BX,10458,,WED,8:30-9:30AM,,,closed,,,,,closed,,,,,open,07:30 AM,09:30 AM,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1719475235062,maps.nyc.data,20b2c430-f51d-47f7-900f-6ff07b793211,40.85642973932272,-73.89467860287739,100.0,Bronx County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.8946786028774 40.8564297393227),36005038304,BX0603,116
205,FP,,UNION GROVE BAPTIST CHURCH,(347) 590-3881,"1488 Hoe Ave, Bronx, New York, 10460",BX,10460,,WED,9-11AM,,,closed,,,,,closed,,,,,open,09:00 AM,11:00 AM,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1719475235062,maps.nyc.data,4c8f62a2-0bca-466e-929e-4b0def109c9b,40.83294746039107,-73.88914688205773,100.0,Bronx County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.8891468820577 40.8329474603911),36005015700,BX0303,117
206,FP,,VINEYARD INTERNATIONAL CHRISTIAN MINISTRIES,(718) 538-9211,"1140 Teller Ave, Bronx, New York, 10456",BX,10456,,SAT,10AM-12PM,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,open,10:00 AM,12:00 PM,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1680892750097,rwrenner_nyc,45c2c327-9e10-4770-a88e-cb72b82b7e7a,40.83074440287,-73.9123762370611,100.0,Bronx County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.9123762367871 40.8307444031391),36005017500,BX0401,118
207,FP,,"WAY OUT CHURCH MINISTRIES, INC (FP)",(718) 665-8069,"520 E 148th St, Bronx, New York, 10455",BX,10455,,"TUE,THUR",8-10AM,,,closed,,,,,closed,,,,,open,09:00 AM,10:30 AM,,,closed,,,,,open,09:00 AM,10:30 AM,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1701507622955,maps.nyc.data,99e42fac-09f8-4178-bf71-26344433fc34,40.813939231827,-73.914690899623,100.0,Bronx County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.914690899623 40.813939231827),36005004300,BX0101,119
208,FP,,WHEDCO - FOOD PANTRY,(718) 839-1100,"50 E 168th St, Bronx, New York, 10452",BX,10452,,WED,9:30-10:30AM,,,closed,,,,,closed,,,,,open,09:30 AM,10:30 AM,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1680892750097,rwrenner_nyc,d0b3cf23-3f56-4dda-a500-47032251dbc1,40.83648818584,-73.9190378384288,100.0,Bronx County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.9190378384053 40.8364881856616),36005019700,BX0401,120
210,FP,,WORD OF LIFE CHRISTIAN FELLOWSHIP,(718) 861-5678,830 UNION AVENUE,BX,10459,,SAT,10AM-4PM,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,open,11:00 AM,03:00 PM,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1728460820673,maps.nyc.data,85d2c889-149b-4129-8bcb-e04eb22f62ad,40.819614115553,-73.903033851601,100.0,Bronx County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.903033851601 40.819614115553),36005007700,BX0102,121
213,FP,,AFRICAN SERVICES COMMITTEE (FP),"(212) 222-3882,107","429 W 127th St, New York, New York, 10027",NY,10027,,MON-FRI,9AM-5PM,,,open,10:00 AM,04:00 PM,,,open,10:00 AM,04:00 PM,,,open,10:00 AM,04:00 PM,,,open,10:00 AM,04:00 PM,,,closed,,,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1752307214510,maps.nyc.data,8f93e6e8-1111-4428-88cd-f0ad586ad973,40.813386906317,-73.954489768462,100.0,New York County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.954489768462 40.813386906317),36061021303,MN0902,122
